item,gen
326950,"['Indie', 'Adventure', 'RPG']"
331490,"['Indie', 'Adventure', 'RPG']"
331491,"['Indie', 'Adventure', 'RPG']"
331492,"['Indie', 'Adventure', 'RPG']"
348540,"['Indie', 'Adventure', 'Casual']"
352010,"['Indie', 'Adventure', 'Casual']"
390470,"['Indie', 'Adventure', 'Casual']"
394050,"['Indie', 'Adventure', 'Casual']"
398100,"['Indie', 'Casual']"
408770,"['Indie', 'Adventure']"
387110,"['Indie', 'Action', 'Casual']"
387120,"['Indie', 'Action']"
396610,"['Indie', 'Action']"
396620,"['Indie', 'Action']"
476010,"['Indie', 'Casual', 'Strategy', 'Simulation', 'Free to Play', 'Sports']"
480590,"['Indie', 'Casual', 'Strategy', 'Simulation', 'Free to Play', 'Sports']"
480593,"['Indie', 'Casual', 'Strategy', 'Simulation', 'Free to Play', 'Sports']"
480594,"['Indie', 'Casual', 'Strategy', 'Simulation', 'Free to Play', 'Sports']"
502841,"['Indie', 'Casual', 'Strategy', 'Simulation', 'Free to Play', 'Sports']"
509520,"['Indie', 'Casual', 'Strategy', 'Simulation', 'Free to Play', 'Sports']"
509521,"['Indie', 'Casual', 'Strategy', 'Simulation', 'Free to Play', 'Sports']"
509522,"['Indie', 'Casual', 'Strategy', 'Simulation', 'Free to Play', 'Sports']"
509900,"['Indie', 'Casual', 'Strategy', 'Simulation', 'Free to Play', 'Sports']"
467770,"['Indie', 'Casual', 'Strategy', 'Simulation', 'Free to Play', 'Sports']"
33720,"['Casual', 'Simulation']"
33710,"['Casual', 'Simulation']"
33700,"['Casual', 'Simulation']"
12660,"['Casual', 'Simulation']"
12650,"['Casual', 'Simulation']"
33760,['Casual']
12540,['Casual']
12560,['Simulation']
12670,['Simulation']
38700,"['Indie', 'Casual']"
201420,"['Indie', 'Adventure', 'Casual']"
38720,"['Indie', 'Casual', 'Strategy']"
38740,"['Indie', 'Action']"
509840,"['Indie', 'Casual']"
524020,"['Indie', 'Casual']"
514160,['Simulation']
514170,['Simulation']
514180,['Simulation']
371200,"['Indie', 'Strategy', 'Simulation', 'RPG']"
528490,"['Indie', 'Strategy', 'Simulation', 'RPG']"
507380,"['Indie', 'Casual']"
517560,"['Indie', 'Casual']"
11450,['RPG']
12750,['Racing']
12770,['RPG']
11590,['Simulation']
11560,['Strategy']
12790,"['Action', 'Adventure']"
12810,['RPG']
12830,['Action']
12710,['RPG']
44310,"['Simulation', 'Sports', 'Racing']"
44340,"['Action', 'Strategy']"
44360,"['Simulation', 'Sports', 'Racing']"
201700,"['Action', 'Sports', 'Racing']"
208500,"['Simulation', 'Sports', 'Racing']"
220801,['Racing']
203680,['Racing']
220802,['Racing']
220803,['Racing']
220804,['Racing']
220805,['Racing']
220806,['Racing']
220807,['Racing']
220809,['Racing']
220812,['Racing']
220813,['Racing']
220811,['Racing']
221165,"['Sports', 'Racing']"
44350,"['Sports', 'Racing']"
221162,"['Sports', 'Racing']"
221160,"['Sports', 'Racing']"
221164,"['Sports', 'Racing']"
221161,"['Sports', 'Racing']"
221168,"['Sports', 'Racing']"
221167,"['Sports', 'Racing']"
221166,"['Sports', 'Racing']"
255220,"['Sports', 'Racing']"
255690,"['Sports', 'Racing']"
255691,"['Sports', 'Racing']"
255692,"['Sports', 'Racing']"
282090,"['Sports', 'Racing']"
282091,"['Sports', 'Racing']"
282092,"['Sports', 'Racing']"
286570,"['Sports', 'Racing']"
287260,['Racing']
287340,"['Sports', 'Racing']"
289020,"['Sports', 'Racing']"
289021,"['Sports', 'Racing']"
289022,"['Sports', 'Racing']"
289023,"['Sports', 'Racing']"
289024,"['Sports', 'Racing']"
310560,"['Simulation', 'Sports', 'Racing']"
226580,"['Sports', 'Racing']"
321040,"['Simulation', 'Sports', 'Racing']"
391040,"['Simulation', 'Sports', 'Racing']"
306670,"['Action', 'Adventure']"
436520,"['Action', 'Early Access']"
520900,['Action']
357070,"['Indie', 'Action']"
366420,"['Indie', 'Action']"
444940,"['Indie', 'Action']"
515570,"['Indie', 'Action']"
527000,"['Indie', 'Action']"
401190,"['Indie', 'Action', 'Adventure', 'Simulation']"
440730,"['Indie', 'Action', 'Adventure', 'Simulation', 'Early Access']"
434942,"['Indie', 'Action', 'Adventure', 'Simulation']"
434944,"['Indie', 'Action', 'Adventure', 'Simulation']"
431190,"['Indie', 'Action', 'Adventure', 'Simulation']"
434941,"['Indie', 'Action', 'Adventure', 'Simulation']"
434943,"['Indie', 'Action', 'Adventure', 'Simulation']"
408100,"['Indie', 'Action', 'Adventure', 'Simulation']"
408102,"['Indie', 'Action', 'Adventure', 'Simulation']"
408101,"['Indie', 'Action', 'Adventure', 'Simulation']"
431191,"['Indie', 'Action', 'Adventure', 'Simulation']"
434940,"['Indie', 'Action', 'Adventure', 'Simulation']"
265120,"['Indie', 'Strategy']"
288240,"['Indie', 'Strategy']"
451400,"['Indie', 'Action', 'Strategy']"
486960,"['Indie', 'Action', 'Strategy']"
428430,"['Indie', 'Adventure', 'Casual']"
450730,"['Indie', 'Adventure', 'Casual']"
350200,['Adventure']
470180,['Adventure']
353640,"['Indie', 'Casual', 'Strategy', 'Simulation']"
369990,"['Indie', 'Strategy']"
465780,"['Indie', 'Action', 'Adventure', 'Casual', 'Simulation', 'Sports', 'Racing']"
494570,"['Action', 'Adventure', 'Casual', 'Simulation', 'Sports', 'Racing']"
293180,"['Indie', 'Action', 'Adventure']"
303390,"['Indie', 'Action', 'Casual']"
306160,"['Indie', 'Action', 'Casual']"
343360,"['Indie', 'Casual', 'Strategy']"
448070,"['Indie', 'Action', 'Casual', 'Strategy']"
450470,['Casual']
485660,"['Indie', 'Action', 'Adventure', 'Casual']"
485920,"['Indie', 'Action', 'Casual']"
